Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
A: oh yes. Well they just beeped.  I think that might mean we have to hang up.  	they=the CALLHOME corpus creators,I=A,that=the beeping,we=A and B		275.1	The CALLHOME corpus creators just beeped					oh yes. = A understands B's concern in 274	CT+ 275.1	CT+ 275.1	JA 275.1	JA 275.1			
			275.2	A thinks the beeping might mean A and B have to hang up						CT+ 275.2	CT+ 275.2	JA 275.2	JA 275.2			
			275.3	The beeping might mean A and B have to hang up						PS 275.3	PS 275.3	JA 275.3	JA 275.3			
			275.4	A and B have to hang up						PS 275.4	PS 275.4	JA 275.4	JA 275.4	LI	embedded under 'might'	
B: okay.  			276						okay.  = B agrees with 275.3							
A: We have a minute.  	We=A and B		277	A and B have a minute						CT+ 277	CT+ 277	JA 277	JA 277			
B: %um.  			278						%um.  = interjection/ indicator of changing the subject							
B: I want to tell you I saw four parakeets fly across the street in &Barcelona.  	I=B,you=A		279.1	B wants to tell A B saw four parakeets fly across the street in Barcelona						CT+ 279.1	CT+ 279.1	JA 279.1	JA 279.1			
			279.2	B tells A B saw four parakeets fly across the street in Barcelona						CT+ 279.2	CT+ 279.2	JA 279.2	JA 279.2			
			279.3	B saw four parakeets fly across the street in Barcelona						CT+ 279.3	CT+ 279.3	JA 279.3	JA 279.3			
			279.4	Four parakeets flew across the street in Barcelona						CT+ 279.4	CT+ 279.4	JA 279.4	JA 279.4			
A: oh neat. Is it thirty minutes? 	it=this conversation 		280.1	A asks B if this conversation has gone for thirty minutes already			 → 282 RT → 283.1 JA	 → 282 PS → 283.1 CT+	oh neat. = A likes that 279.3	CT+ 280.1	CT+ 280.1	JA 280.1	JA 280.1			
			280.2	This conversation has gone for thirty minutes already	 → 283.1 CT-		 → 283.1 RT	 → 283.1 PS		NB 280.2	CT- 280.2					
B: It was [distorted] beautiful.  	It=the parakeets flying across the street in Barcelona		281	The parakeets flying across the street in Barcelona was beautiful						CT+ 281	CT+ 281	JA 281	JA 281			
A: Is it 			282	 					Is it = A attempts to repeat 280, which signals that A thought that B did not understand it			RT 280.1	RT 280.1	C	IMPORTANT FOR CG DEFINITION	
B: It’s going to be thirty minutes in about five minutes I think.  	It=this conversation,I=B		283.1	B thinks this conversation will have been going for thirty minutes in about five minutes						CT- 280.2,CT+ 283.1	CT+ 283.1	RT 280.2,JA 280.1,JA 283.1	RT 280.2,JA 280.1,JA 283.1			
			283.2	 This conversation will have been going for thirty minutes in about five minutes						PS 283.2	PS 283.2	JA 283.2	JA 283.2	LI	embedded under 'thinks'	
A: oh okay because there’s a beep coming on my end.  	my=A's		284	There’s a beep coming on A's end					oh okay = A acknowledges 283	CT+ 284	CT+ 284	JA 284	JA 284			
B: yeah.  			285						yeah.  = interjection							
A: You don’t hear it? 	You=A,it=the beeping		286.1	A asks B if B doesn't hear the beeping						CT+ 286.1	CT+ 286.1	JA 286.1	JA 286.1			
			286.2	B doesn't hear the beeping	 → 287 CT+		 → 287 JA	 → 287 CT+		PS 286.2	CT+ 286.2					
B: No.  			287							CT+ 286.2		JA 286.2	JA 286.2			
A: okay. Well ignore it so we’ll let them go on.  	it=the beeping,we=A and B,them=the CALLHOME corpus creators		288.1	A asks B to ignore what A said about the beeping					okay. = A acknowledges 286.2	CT+ 288.1	CT+ 288.1	JA 288.1	JA 288.1			
			288.2	B ignores what A said about the beeping	 → 290 CT+		 → 290 JA	 → 290 CT+		PS 288.2	CT+ 288.2	JA 288.2	JA 288.2			
			288.3	A and B will let the CALLHOME corpus creators go on						CT+ 288.3	CT+ 288.3	JA 288.3	JA 288.3			
B: Well 			289													
B: Well anyway.  			290						Well anyway.  = indicates that B wants to change the subject	CT+ 288.2		JA 288.2	JA 288.2	C	now it's added to CG with certain beliefs, since B did ignore that A heard the beeping	
A: oh so that sounds very nice. They were loose or in a 	that=seeing parakeers fly across the street in Barcelona,They=the parakeets		291.1	Seeing parakeets fly across the street in Barcelona sounds very nice						CT+ 291.1	CT+ 291.1	JA 291.1	JA 291.1			
			291.2	A asks B if the parakeets were loose						CT+ 291.2	CT+ 291.2	JA 291.2	JA 291.2	C	NEW QUESTION TYPE: ADD TO MANUAL	
			291.3	The parakeets were loose	 → 292.1 CT+		 → 292.1 JA	 → 292.1 CT+		PS 291.3	CT+ 291.3					
B: Well I they were loose they were I said the &Sheila I think I hear a parakeet.  	I=B,they=the parakeets		292.1	B told Sheila B thinks B hears a parakeet						CT+ 291.3,CT+ 292.1	CT+ 292.1	JA 291.3,JA 292.1	JA 291.3,JA 292.1			
			292.2	B thinks B hears a parakeet						CT+ 292.2	CT+ 292.2	JA 292.2	JA 292.2			
			292.3	B hears a parakeet						PS 292.3	PS 292.3	JA 292.3	JA 292.3			
A: uh-huh 			293						uh-huh = A acknowledges 291							
B: And you could tell he thought that it was nonsense that it was a  	you=one,he=Sheila,it=B seeing a parakeet,it2 =the parakeet		294.1	One could tell that Sheila thought that B seeing parakeets was nonsense						CT+ 294.1	CT+ 294.1	JA 294.1	JA 294.1			
			294.2	Sheila thought that B seeing parakeets was nonsense						CT+ 294.2	CT+ 294.2	JA 294.2	JA 294.2			
			294.3	B seeing parakeets was nonsense						CT- 294.3	CT- 294.3	RT 294.3	RT 294.3	C	 That's what only Sheila seemed to believe; and we know from 279 that B saw parakeets	
A: uh-huh 			295						uh-huh = A acknowledges 294							
B: crow and then I saw it but the sun was against my eyes 	I=B,my=B's,it=a parakeet		296.1	One could tell that Sheila thought that the parakeet  was a crow						CT+ 296.1	CT+ 296.1	JA 296.1	JA 296.1			
			296.2	Sheila thought that the parakeet was a crow						CT+ 296.2	CT+ 296.2	JA 296.2	JA 296.2			
			296.3	The parakeet was a crow						CT- 296.3	CT- 296.3	RT 296.3	RT 296.3	C	we know from 279 that B saw parakeets, not crows	
A: oh how neat 			297						oh how neat = A expresses excitement about B seeing the parakeet							
B: so I couldn’t tell and then it flew and when it flew three more of them flew out of the same tree.  	I=B,it=a parakeet,them=the parakeets		298.1	Then B saw a parakeet but the sun was againts B's eyes so B couldn't tell whether B saw a parakeet						CT+ 298.1	CT+ 298.1	JA 298.1	JA 298.1			
			298.2	Then B saw a parakeet but the sun was againts B's eyes						CT+ 298.2	CT+ 298.2	JA 298.2	JA 298.2			
			298.3	B saw a parakeet						CT+ 298.3	CT+ 298.3	IN 298.3	IN 298.3	C	we know from 279 that B saw parakeets	
			298.4	The sun was againts B's eyes						CT+ 298.4	CT+ 298.4	JA 298.4	JA 298.4			
			298.5	B couldn't tell whether B saw a parakeet						CT+ 298.5	CT+ 298.5	JA 298.5	JA 298.5			
			298.6	The parakeet flew						CT+ 298.6	CT+ 298.6	JA 298.6	JA 298.6			
			298.7	When the parakeet flew three more of the parakeets flew out of the same tree						CT+ 298.7	CT+ 298.7	JA 298.7	JA 298.7			
			298.8	Three more of the parakeets flew out of the same tree						CT+ 298.8	CT+ 298.8	JA 298.8	JA 298.8			
A: oh how neat.  There was a street 			299						oh how neat.  = A expresses excitement about B seeing multiple parakeets							
B: They were beautiful.  	They=the parakeets		300	The parakeets were beautiful						CT+ 300	CT+ 300	JA 300	JA 300			
A: there was a street I walked down in &Barcelona big wide 	I=A		301	A walked down a big, wide street in Barcelona						CT+ 301	CT+ 301	JA 301	JA 301	C	 !!!!! IMPORTANT EXAMPLE !!! INTO MANUAL (Theory of mind)	
B: with all the bird sellers 			302	A walked down a big, wide street with all the bird sellers in Barcelona 						CT+ 302	CT+ 302	JA 302	JA 302			
A: Yes.  			303							CT+ 303	CT+ 303	IN 303	IN 303	C	reconfirmation of 302	
B: They were closed up that day but I’m sure that what these were is 	They=the bird sellers,I=B		304.1	The bird sellers were closed up the day B saw the parakeets but B's sure that these parakeets were escapees						CT+ 304.1	CT+ 304.1	JA 304.1	JA 304.1			
			304.2	The bird sellers were closed up the day B saw the parakeets 						CT+ 304.2	CT+ 304.2	JA 304.2	JA 304.2			
			304.3	B's sure that these parakeets were escapees						CT+ 304.3	CT+ 304.3	JA 304.3	JA 304.3			
			304.4	There parakeets were escapees						CT+ 304.4	CT+ 304.4	JA 304.4	JA 304.4	LI	embedded under 'I'm sure'	
A: Well it was g- it was a wonderful place I mean I guess you have to sort of discount that they’re in cages but 	it=the big, wide street with all the bird sellers in Barcelona,I=A,they=the birds that are to be sold,you=one		305.1	The big, wide street with all the bird sellers in Barcelona is a wonderful place					I mean = interjection	CT+ 305.1	CT+ 305.1	JA 305.1	JA 305.1			
			305.2	A guesses one has to sort of discount that the bird that are to be sold are in cages						CT+ 305.2	CT+ 305.2	JA 305.2	JA 305.2			
			305.3	One has to sort of discount that the bird that are to be sold are in cages						PS 305.3	PS 305.3	JA 305.3	JA 305.3	LI	embedded under 'I guess'	
			305.4	The bird that are to be sold are in cages						CT+ 305.4	CT+ 305.4	JA 305.4	JA 305.4	C		
B: Escapees yeah 			306													
B: yeah It’s it’s part of <Spanish (( ))> 	It=the birds that are sold are in cages		307	305.4 is part of the problem					yeah  = B agrees with 305.3	CT+ 307	CT+ 307	JA 307	JA 307			
A: it was beautiful 	it=the big, wide street with all the bird sellers in Barcelona		308	The big, wide street with all the bird sellers in Barcelona was beautiful						CT+ 308	CT+ 308	JA 308	JA 308			
B: yeah.  			309						yeah.  = B agrees with 308 							
A: I mean it was just so beautiful with all these amazing 	it=the big, wide street with all the birds sellers in Barcelona		310	The big, wide street with all the bird sellers in Barcelona was beautiful with all these amazing birds and colors						CT+ 310	CT+ 310	JA 310	JA 310			
B: yeah.  			311						yeah.  = B agrees with 310							
A: birds and colors.  And also in parts of &Spain, I don’t know if they have this in parts of &France, but 	I=A,they=people,this=wide streets with birds sellers		312.1	In parts of Spain people have wide streets with birds sellers										C	 EXAMPLE TO DISCUSS -- not sure whats the right way to annotate 312-313 yet	
			312.2	A doesn't know if people have wide streets with birds sellers in parts of France												
			312.3	People have wide streets with birds sellers in parts of France												
B: Probably not {laugh} 			313	People probably don't have wide streets with birds sellers in parts of France					B laughs at France not having this but Spaing having this							
A: I saw parts of &Spain where they had birds on the shutters and they put them out during the day.  	I=A,they=people,they2 = birds		314.1	A saw parts of Spain where people had birds on the shutters						CT+ 314.1	CT+ 314.1	JA 314.1	JA 314.1			
			314.2	People had birds on the shutters in parts of Spain						CT+ 314.2	CT+ 314.2	JA 314.2	JA 314.2			
			314.3	People put the birds out during the day						CT+ 314.3	CT+ 314.3	JA 314.3	JA 314.3			
B: It’s very popular in &Spain but it’s not so popular here in &France.  	It=people having birds on the shutters and putting the birds out during the day,here=France		315.1	People having birds on the shutters and putting the birds out during the day is very popular in Spain but people having birds on the shutters and putting the birds out during the day is not so popular in France						CT+ 315.1	CT+ 315.1	JA 315.1	JA 315.1			
			315.2	People having birds on the shutters and putting the birds out during the day is very popular in Spain						CT+ 315.2	CT+ 315.2	JA 315.2	JA 315.2			
			315.3	People having birds on the shutters and putting the birds out during the day is not so popular in France						CT+ 315.3	CT+ 315.3	JA 315.3	JA 315.3			
A: yeah.  It was a nice thing.  yeah. %um 	It=people having birds on the shutters and putting the birds out during the day		316	People having birds on the shutters and putting the birds out during the day was a very nice thing					yeah. um - interjection	CT+ 316	CT+ 316	JA 316	JA 316			
B: I’ve seen very little of it. yeah. y- 	it=people having birds on the shutters and putting the birds out during the day,I=B		317	B has seen very little of people having birds on the shutters and putting the birds out during the day					yeah = interjection	CT+ 317	CT+ 317	JA 317	JA 317			
B: I had friends in &Madrid whose father bred birds actually.  	I=B		318.1	B had friends in Madrid whose father bred birds actually						CT+ 318.1	CT+ 318.1	JA 318.1	JA 318.1			
			318.2	B had friends in Madrid						CT+ 318.2	CT+ 318.2	JA 318.2	JA 318.2			
			318.3	B's friends's father in Madrid bred birds actually	 → 320.1 CT+		 → 320.1 JA	 → 320.1 CT+		PS 318.3	CT+ 318.3	JA 318.3	JA 318.3			
A: oh really? 			319	A asks B if B's friend's father in Madrid bred birds actually						CT+ 319	CT+ 319	JA 319	JA 319			
B: In their apartment.  yeah.  It’s quite a big hobby.  	their=B's friends,It=breeding birds in an apartment		320.1	B's friends's father bred birds in B's friends's apartment in Madrid					 	CT+ 318.3,CT+ 320.1	CT+ 320.1	JA 318.3,JA 320.1	JA 318.3,JA 320.1			
			320.2	Breeding birds in an apartment in a quite big hobby						CT+ 320.2	CT+ 320.2	JA 320.2	JA 320.2			
A: Parakeets or? 			321.1	A asks B if the birds bred by B's friends's father in the apartment in Madrid were parakeets						CT+ 321.1	CT+ 321.1	JA 321.1	JA 321.1			
			321.2	The birds bred by B's friends's father in the apartment in Madrid were parakeets	 → 322.1 CT-		 → 322.1 RT	 → 322.1 PS		PS 321.2	CT- 321.2					
B: No little tiny birds.  I don’t know what they were.  Little 	I=B		322.1	The birds bred by B's friends's father in the apartment in Madrid were not parakeets						CT+ 322.1,CT- 321.2	CT+ 322.1	JA 322.1,RT 321.2	JA 322.1,RT 321.2			
			322.2	The birds bred by B's friends's father in the apartment in Madrid were tiny birds						CT+ 322.2	CT+ 322.2	JA 322.2	JA 322.2			
			322.3	B doesn't know what kind of birds were the birds bred by B's friends's father in the apartment in Madrid						CT+ 322.3	CT+ 322.3	JA 322.3	JA 322.3			
A: Finches maybe.  			323	The birds bred by B's friends's father in the apartment in Madrid were maybe finches						CT+ 323	CT+ 323	JA 323	JA 323			
B: yeah.  Song birds of some kind.  			324	The birds bred by B's friends's father in the apartment in Madrid were song birds of some kind					yeah.  B agrees with 323	CT+ 324	CT+ 324	JA 324	JA 324			
A: uh-huh.  oh neat.  			325						uh-huh.  oh neat.  = A expresses excitement about 324							
B: And he was good at breeding them.  	he=B's friends's father in Madrid,them=the song birds of some kind		326	B's friends's father in Madrid was good at breeding the song birds of some kind						CT+ 326	CT+ 326	JA 326	JA 326			
A: uh-huh.  			327						uh-huh.  = A acknowledges 326							
B: so 			328						so = unfinished utterance							
A: oh well that’s good 			329						oh well that’s good = interjection							
B: So but when you went up to &Connecticut, all was well? Or was that another adventure? 	you=A		330.1	B asks A if when A went up to Connecticut all was well						CT+ 330.1	CT+ 330.1	JA 330.1	JA 330.1			
			330.2	A went up to Connecticut	 → 334 CT-	 → 334 CT-	 → 334 RT	 → 334 PS			CT+ 330.2		IN 330.2			
			330.3	All was well in Connecticut	 → 334 CT-	 → 334 CT-	 → 334 RT	 → 334 PS			PS 330.3					
			330.4	B asks A if going up to Connecticut was another adventure						 330.4	CT+ 330.4			C	There is no evidence A ever acknowledges this speech act, and the proposition in 330.5	
			330.5	A's going up to Connecticut was another adventure							PS 330.5					
A: up to &Connecticut? Did I go to 	I=A		331.1	A expresses confusion about A's going up to Connecticut						CT+ 331.1	CT+ 331.1	JA 331.1	JA 331.1			
			331.2	A asks B if A went to Connecticut						CT+ 331.2	CT+ 331.2	JA 331.2	JA 331.2			
			331.3	A went to Connecticut	 → 334 CT-	 → 334 CT-	 → 334 RT	 → 334 PS		NB 331.3	CT+ 331.3					
B: Then you had to go up and get &Jack and everything after (( )) [distortion] 	you=A		332.1	A had to go up to Connecticut and get Jack	 → 334 CT-	 → 334 CT-	 → 334 RT	 → 334 PS			CT+ 332.1					
			332.2	A got Jack from Connecticut	 → 334 CT-	 → 334 CT-	 → 334 RT	 → 334 PS			CT+ 332.2					
A: oh yeah it’s it’s &New &York still but.  			333	A had to get Jack from a place that is still New York and not Connecticut 						CT+ 333	CT+ 333	JA 333	JA 333			
B: {lipsmack} oh.  			334	 					oh.  = B indicates that now the confusion about Connecticut and New York is gone	CT- 330.2,CT- 330.3,CT- 331.3,CT- 332.1,CT- 332.2	CT- 330.2,CT- 330.3,CT- 331.3,CT- 332.1,CT- 332.2	RT 330.2,RT 330.3,RT 331.3,RT 332.1,RT 332.2	RT 330.2,RT 330.3,RT 331.3,RT 332.1,RT 332.2			
A: %um yeah we got up. We got &Jack. We went to the lawyer our lawyer who’s been 	we=A and Robert,We=A and Robert,our=A and Robert's		335.1	A and Robert got  up to New York						CT+ 335.1	CT+ 335.1	JA 335.1	JA 335.1			
			335.2	A and Robert got Jack						CT+ 335.2	CT+ 335.2	JA 335.2	JA 335.2			
			335.3	A and Robert went to the laywer, A and Robert's lawyer						CT+ 335.3	CT+ 335.3	JA 335.3	JA 335.3			
B: mhm.  			336						mhm.  = interjection							
A: Absolutely fantastic start to finish.  I think she’s great.  	I=A,she=A and Robert's lawyer		337.1	A and Robert's lawyer has been absolutely fantastic start to finish						CT+ 337.1	CT+ 337.1	JA 337.1	JA 337.1			
			337.2	A thinks that A and Robert's lawyer is great						CT+ 337.2	CT+ 337.2	JA 337.2	JA 337.2			
			337.3	A and Robert's lawyer is great						CT+ 337.3	CT+ 337.3	JA 337.3	JA 337.3	LI	CT+ even though embedded under 'I think'	
B: mhm.  mhm.  			338						mhm.  mhm.  = B acknowledges 337.3							
A: %um {lipsmack} and then came home and that’s when yeah then &Robert’s mom crashed the car {laugh}.  			339.1	A and Robert came home after picking up Jack from New York						CT+ 339.1	CT+ 339.1	JA 339.1	JA 339.1			
			339.2	When A and Robert came back home from picking up Jack in New York Robert's mom crushed the car						CT+ 339.2	CT+ 339.2	JA 339.2	JA 339.2			
			339.3	Robert's mom crushed the car						CT+ 339.3	CT+ 339.3	JA 339.3	JA 339.3			
B: oh I see it was after that that she did that.  	that=crush the car		340						I see = B expresses understanding about the 339.2							
A: So 			341													
A: yeah actually we had to do that at like eight o’clock the next morning because &Martha was leaving by nine.  	we=A and Robert,that=deal with the crashed car		342.1	A and Robert had to deal with the crashed car at like eight o'clock the next morning because Martha was leaving by nine						CT+ 342.1	CT+ 342.1	JA 342.1	JA 342.1			
			342.2	A and Robert had to deal with the crashed car at like eight o'clock the next morning						CT+ 342.2	CT+ 342.2	JA 342.2	JA 342.2			
			342.3	Martha was leaving by nine						CT+ 342.3	CT+ 342.3	JA 342.3	JA 342.3			
B: So mom and dad were down there for how long? 	there=A and Rabert's home,mom=A and B's mom and dad		343.1	B asks A how long A and B's mom and dad were at A and Robert's home						CT+ 343.1	CT+ 343.1	JA 343.1	JA 343.1			
			343.2	A and B's mom and dad were at A and Robert's home						CT+ 343.2	CT+ 343.2	IN 343.2	IN 343.2	LI	embedded under 'for how long' -- presupposed event	
A: They came Saturday and stayed Saturday night and Sunday and left Monday 	They=A and B's mom and dad		344.1	A and B's mom and dad came Saturday 						CT+ 344.1	CT+ 344.1	JA 344.1	JA 344.1			
			344.2	A and B's mom and dad stayed Saturday night						CT+ 344.2	CT+ 344.2	JA 344.2	JA 344.2			
			344.3	A and B's mom and dad left Monday						CT+ 344.3	CT+ 344.3	JA 344.3	JA 344.3			
B: uh-huh.  This past Monday like 			345	A and B's mom and dad left this past Monday					uh-huh.  = B expresses understanding of 344	CT+ 345	CT+ 345	JA 345	JA 345			
