Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
A: you know if you’ve made it through the eight and a half months, man, you deserve it a baby.  	you=one		230.1	If one's made it through the eight and a half months, one deserves a baby			 → 232.1 IN	 → 232.1 CT-	you know=interjection	CT+ 230.1	CT+ 230.1	JA 230.1	JA 230.1			
			230.2	One's made it through the eight and a half months						NB 230.2	NB 230.2					
			230.3	One deserves a baby						NB 230.3	NB 230.3					
B: I bet [distorted] 			231													
B: I know and then you know and then to have to go back to work 	I=B		232.1	B knows 230.1						CT+ 232.1	CT+ 232.1	JA 232.1,IN 230.1	JA 232.1,IN 230.1			
			232.2	One has to go back to work after one looses one's baby						CT+ 232.2	CT+ 232.2	JA 232.2	JA 232.2			
			232.3	Going back to work after loosing one's baby is tough						CT+ 232.3	CT+ 232.3	JA 232.3	JA 232.3	C	implication	
B: and {inhale} you know and then the second pregnancy must be just like fraught with anxiety and especially since it happened at eight and a half months, you know.   	it=loosing the baby		233.1	Once one lost baby at eight and a half months, the second pregnancy must be just like fraught with anxiety					you know=interjection	CT+ 233.1	CT+ 233.1	JA 233.1	JA 233.1			
			233.2	One lost baby at eight and a half months						NB 233.2	NB 233.2					
			233.3	The second pregnancy must be just like fraught with anxiety						NB 233.3	NB 233.3					
A: yeah and everybody is probably saying now you better really drink milk this time.  You better eat your cottage cheese now.  	you=one,You=one		234.1	Everybody is probably saying now one better really drink milk this time			 → 235 IN	 → 235 CT-	yeah=A agrees with 233.1	CT+ 234.1	CT+ 234.1	JA 234.1	JA 234.1			
			234.2	Now one better really drink milk this time						CT+ 234.2	CT+ 234.2	JA 234.2	JA 234.2			
			234.3	One really drinks milk this time						CT- 234.3	CT- 234.3	RT 234.3	RT 234.3	C	 suggestion for future, does not suggest that the event is true now	
			234.4	One better eat one's cottage cheese now						CT+ 234.4	CT+ 234.4	JA 234.4	JA 234.4			
			234.5	One eats one's cottage cheese now						CT- 234.5	CT- 234.5	RT 234.5	RT 234.5	C	 suggestion for future, does not suggest that the event is true now	
B: {laugh} I Know.  			235	B knows 234.1						CT+ 235	CT+ 235	JA 235,IN 234.1	JA 235,IN 234.1			
B: I know I know yeah.  I actually did start drinking more milk and it has helped with all my little aches and pains and stuff.  	I=B,it=drinking more milk,my=B's		236.1	B actually did start drinking more milk						CT+ 236.1	CT+ 236.1	JA 236.1	JA 236.1			
